Bone Vambraces Alpha +,9,Slugger 2,Attack Boost 1,114,Level 2,None,None,2,0,2,0,2
Bone Vambraces Beta +,9,Slugger 1,,114,Level 4,Level 1,None,2,0,2,0,2
Alloy Vambraces Alpha +,9,Defense Boost 2,Speed Sharpening 1,114,Level 3,None,None,-2,0,-2,-2,0
Alloy Vambraces Beta +,9,Defense Boost 2,,114,Level 4,Level 1,None,-2,0,-2,-2,0
Direwolf Vambraces,9,Attack Boost 1,,130,None,None,None,2,0,0,2,0
Vespoid Vambraces Alpha +,9,Paralysis Attack 1,Quick Sheath 1,116,Level 3,None,None,-2,1,1,1,2
Vespoid Vambraces Beta +,9,Paralysis Attack 1,,116,Level 4,Level 1,None,-2,1,1,1,2
Hornetaur Vambraces Alpha +,9,Free Meal 1 Handicraft 1,,116,Level 3,None,None,-1,-1,0,0,2
Hornetaur Vambraces Beta +,9,Free Meal 1,,116,Level 4,Level 2,None,-1,-1,0,0,2
Kestodon Guards Alpha +,9,Affinity Sliding 1,Focus 2,116,Level 1,Level 1,None,4,0,0,0,0
Kestodon Guards Beta +,9,Affinity Sliding 1,Focus 1,116,Level 4,Level 1,None,4,0,0,0,0
Jagras Vambraces Alpha +,9,Evade Extender 2,Recovery Up 1,116,Level 2,None,None,-2,2,-1,-1,1
Jagras Vambraces Beta +,9,Evade Extender 1,Recovery Up 1,116,Level 4,None,None,-2,2,-1,-1,1
Tzitzi Vambraces Alpha +,9,Stun Resistance 2,Wide-Range 2,116,Level 2,None,None,0,0,-3,-2,0
Tzitzi Vambraces Beta +,9,Stun Resistance 2,Wide-Range 1,116,Level 4,None,None,0,0,-3,-2,0
Girros Vambraces Alpha +,9,Free Elem/Ammo Up 1,Effluvia Resistance 2,116,Level 1,None,None,0,-3,2,0,1
Girros Vambraces Beta +,9,Free Elem/Ammo Up 1,Effluvia Resistance 1,116,Level 4,None,None,0,-3,2,0,1
Dodogama Vambraces Alpha +,9,Bombardier 2,Blast Attack 1,120,Level 2,None,None,2,0,-3,0,2
Dodogama Vambraces Beta +,9,Bombardier 1,Blast Attack 1,120,Level 4,None,None,2,0,-3,0,2
Kulu Vambraces Alpha +,9,Critical Boost 1,Pro Transporter 1,116,Level 1,Level 1,None,0,-3,0,1,0
Kulu Vambraces Beta +,9,Critical Boost 1,,116,Level 4,None,None,0,-3,0,1,0
Pukei Vambraces Alpha +,9,Peak Performance 2,Survival Expert 1,118,Level 1,None,None,0,3,-3,0,1
Pukei Vambraces Beta +,9,Peak Performance 1,Survival Expert 1,118,Level 4,None,None,0,3,-3,0,1
Pukei Lagoon Braces Alpha +,9,Partbreaker 1,Power Prolonger 1,132,Level 1,None,None,0,3,-2,-3,0
Pukei Lagoon Braces Beta +,9,Partbreaker 1,,132,Level 4,Level 1,None,0,3,-2,-3,0
Barroth Vambraces Alpha +,9,Marathon Runner 1,Guard 1,118,Level 3,Level 1,None,-3,-1,3,-1,0
Barroth Vambraces Beta +,9,Marathon Runner 1,,118,Level 4,Level 2,None,-3,-1,3,-1,0
