Fair Wind Charm,Rarity 3,Attack Boost 1,Divine Blessing 1
Poison Charm I,Rarity 3,Poison Resistance 1,None
Poison Charm II,Rarity 5,Poison Resistance 2,None
Poison Charm III,Rarity 6,Poison Resistance 3,None
Attack Charm I,Rarity 3,Attack Boost 1,None
Attack Charm II,Rarity 5,Attack Boost 2,None
Attack Charm III,Rarity 7,Attack Boost 3,None
Defense Charm I,Rarity 3,Defense Boost 1,None
Defense Charm II,Rarity 5,Defense Boost 2,None
Defense Charm III,Rarity 6,Defense Boost 3,None
Paralysis Charm I,Rarity 3,Paralysis Resistance 1,None
Paralysis Charm II,Rarity 5,Paralysis Resistance 2,None
Paralysis Charm III,Rarity 7,Paralysis Resistance 3,None
Sleep Charm I,Rarity 3,Sleep Resistance 1,None
Sleep Charm II,Rarity 5,Sleep Resistance 2,None
Sleep Charm III,Rarity 6,Sleep Resistance 3,None
Stun Charm I,Rarity 3,Stun Resistance 1,None
Stun Charm II,Rarity 5,Stun Resistance 2,None
Stun Charm III,Rarity 6,Stun Resistance 3,None
Blast Charm I,Rarity 5,Blast Resistance 1,None
Blast Charm II,Rarity 6,Blast Resistance 2,None
Blast Charm III,Rarity 7,Blast Resistance 3,None
Bleed Charm I,Rarity 4,Bleeding Resistance 1,None
Bleed Charm II,Rarity 6,Bleeding Resistance 2,None
Bleed Charm III,Rarity 7,Bleeding Resistance 3,None
Guard Charm I,Rarity 6,Iron Skin 1,None
Guard Charm II,Rarity 6,Iron Skin 2,None
Guard Charm III,Rarity 7,Iron Skin 3,None
Earplugs Charm I,Rarity 6,Earplugs 1,None
Earplugs Charm II,Rarity 6,Earplugs 2,None
Earplugs Charm III,Rarity 8,Earplugs 3,None
Windproof Charm I,Rarity 3,Windproof 1,None
Windproof Charm II,Rarity 5,Windproof 2,None
Windproof Charm III,Rarity 6,Windproof 3,None
Tremor Charm I,Rarity 6,Tremor Resistance 1,None
Tremor Charm II,Rarity 7,Tremor Resistance 2,None
Health Charm I,Rarity 3,Health Boost 1,None
Health Charm II,Rarity 5,Health Boost 2,None
Health Charm III,Rarity 7,Health Boost 3,None
Recovery Charm I,Rarity 3,Recovery Up 1,None
Recovery Charm II,Rarity 6,Recovery Up 2,None
Recovery Charm III,Rarity 7,Recovery Up 3,None
