Order,Name,Rarity,Attack,True Attack,Element,Element Stat,Affinity(%),Defense,Elderseal,Gem Slot 1(Lvl),Gem Slot 2(Lvl),Gem Slot 3(Lvl),Skill,Max Sharpness,Red Sharpness,Orange Sharpness,Yellow Sharpness,Green Sharpness,Blue Sharpness,White Sharpness,Purple Sharpness
1,Iron Hammer I,1,416,80,None,0,0,0,None,None,None,None,None,200,100,50,50,0,0,0,0
2,Iron Hammer II,1,468,90,None,0,0,0,None,None,None,None,None,200,80,70,30,20,0,0,0
3,Iron Hammer III,2,520,100,None,0,0,0,None,None,None,None,None,200,60,70,30,40,0,0,0
4,Iron Demon I,3,572,110,None,0,0,0,None,None,None,None,None,250,70,50,80,50,0,0,0
5,Iron Demon II,4,676,130,None,0,0,0,None,None,None,None,None,250,60,50,80,60,0,0,0
6,Iron Demon III,5,728,140,Hidden Blast,210,0,0,None,1,None,None,None,300,100,50,50,80,20,0,0
7,Iron Archdemon I,6,832,160,Hidden Blast,240,0,0,None,1,None,None,None,300,90,50,50,80,30,0,0
8,Iron Archdemon II,6,936,180,Hidden Blast,270,0,0,None,1,1,None,None,350,60,60,20,150,60,0,0
9,Kurogane I,9,1144,220,Hidden Blast,300,0,0,None,1,1,None,None,350,90,80,30,30,80,40,0
10,Kurogane II,10,1248,240,Hidden Blast,330,0,0,None,1,1,None,None,350,80,80,30,30,80,50,0
11,Kurogane III,11,1352,260,Hidden Blast,360,0,0,None,1,1,None,None,350,120,30,30,60,50,60,0
12,Bone Bludgeon I,1,520,100,None,0,0,0,None,None,None,None,None,200,110,60,30,0,0,0,0
13,Bone Bludgeon II,1,572,110,None,0,0,0,None,None,None,None,None,200,90,60,50,0,0,0,0
14,Bone Bludgeon III,2,624,120,None,0,0,0,None,None,None,None,None,200,90,50,50,10,0,0,0
15,Fossil Bludgeon I,3,728,140,None,0,0,0,None,None,None,None,None,250,130,70,30,20,0,0,0
16,Fossil Bludgeon II,4,780,150,None,0,0,0,None,None,None,None,None,250,120,70,30,30,0,0,0
17,Fossil Bludgeon III,5,832,160,Hidden Thunder,360,0,0,None,2,None,None,None,300,110,70,30,90,0,0,0
18,Grandrock I,6,884,170,Hidden Thunder,390,0,+10,None,2,None,None,None,300,110,100,40,40,10,0,0
19,Grandrock II,6,988,190,Hidden Thunder,420,0,+10,None,3,None,None,None,350,110,120,40,50,30,0,0
20,Earth Ender I,9,1196,230,Hidden Thunder,450,0,+35,None,3,None,None,None,350,110,100,40,50,50,0,0
21,Earth Ender II,10,1300,250,Hidden Thunder,450,0,+35,None,3,None,None,None,350,100,100,40,50,60,0,0
22,Earth Ender III,11,1456,280,Hidden Thunder,450,0,+35,None,3,None,None,None,350,90,100,40,50,70,0,0
23,Kulu Beak I,2,624,120,None,0,15,0,None,None,None,None,None,200,60,70,30,40,0,0,0
24,Kulu Beak II,3,676,130,None,0,15,0,None,None,None,None,None,250,110,70,30,40,0,0,0
25,Kulu Beak III,4,728,140,None,0,15,0,None,None,None,None,None,250,100,70,30,50,0,0,0
26,Crushing Beak I,5,780,150,Hidden Sleep,240,25,0,None,None,None,None,None,300,140,70,30,60,0,0,0
27,Crushing Beak II,6,832,160,Hidden Sleep,300,25,0,None,None,None,None,None,300,130,70,30,70,0,0,0
28,Crushing Beak III,6,884,170,Hidden Sleep,360,25,0,None,None,None,None,None,350,120,110,40,40,40,0,0
29,Makhlab al-Nasr I,9,1092,210,Hidden Sleep,390,25,0,None,None,None,None,None,350,110,30,30,110,40,30,0
30,Makhlab al-Nasr II,10,1352,260,Hidden Sleep,420,25,0,None,None,None,None,None,350,110,30,30,110,40,30,0
31,Blooming Hammer I,2,520,100,Poison,300,0,0,None,None,None,None,None,200,70,70,30,30,0,0,0
32,Blooming Hammer II,3,624,120,Poison,360,0,0,None,None,None,None,None,250,70,50,80,50,0,0,0
33,Blooming Hammer III,4,728,140,Poison,420,0,0,None,None,None,None,None,250,50,50,80,70,0,0,0
34,Buon Fiore,5,780,150,Poison,480,0,0,None,1,1,None,None,300,100,50,80,70,0,0,0
35,Buona Flora,7,936,180,Poison,540,0,0,None,2,2,None,None,350,100,120,40,50,40,0,0
36,Buona Flora+,9,1092,210,Poison,570,0,0,None,2,2,None,None,350,100,80,30,30,80,30,0
37,Buona Florescenza,10,1300,250,Poison,660,0,0,None,2,2,None,None,350,120,30,30,60,50,60,0
38,Carapace Sledge I,2,676,130,None,0,-10,+10,None,None,None,None,None,200,70,50,50,30,0,0,0
39,Carapace Sledge II,3,728,140,None,0,-10,+10,None,None,None,None,None,250,110,70,30,40,0,0,0
40,Carapace Sledge III,4,832,160,None,0,-10,+10,None,None,None,None,None,250,100,70,30,50,0,0,0
41,Barroth Breaker I,5,936,180,Hidden Paralysis,270,-10,+15,None,1,None,None,None,300,130,70,30,70,0,0,0
42,Barroth Breaker II,6,988,190,Hidden Paralysis,330,-10,+15,None,1,1,None,None,300,110,70,30,90,0,0,0
43,Barroth Breaker III,6,1040,200,Hidden Paralysis,390,-10,+15,None,2,1,None,None,350,110,120,40,50,30,0,0
44,Barroth Crusher I,9,1248,240,Hidden Paralysis,420,-10,+25,None,2,2,None,None,350,130,100,30,30,60,0,0
45,Barroth Crusher II,10,1404,270,Hidden Paralysis,450,-10,+25,None,2,2,None,None,350,130,100,30,30,60,0,0
46,Blazing Hammer I,3,780,150,Fire,210,-20,0,None,None,None,None,None,250,120,70,30,30,0,0,0
47,Blazing Hammer II,4,832,160,Fire,270,-20,0,None,None,None,None,None,250,110,70,30,40,0,0,0
48,Anja Striker I,5,884,170,Fire,330,-20,0,None,None,None,None,None,300,110,60,80,50,0,0,0
49,Anja Striker II,6,988,190,Fire,360,-20,0,None,None,None,None,None,300,110,100,40,40,10,0,0
50,Anja Striker III,6,1092,210,Fire,450,-20,0,None,None,None,None,None,350,120,120,40,50,20,0,0
51,Anja Fiercemaul I,9,1196,230,Fire,480,-20,0,None,None,None,None,None,350,80,100,40,50,80,0,0
52,Anja Fiercemaul II,10,1404,270,Fire,600,-20,0,None,None,None,None,None,350,80,100,40,50,80,0,0
53,Nergal Crusher,7,1040,200,Dragon,90,0,0,High,1,None,None,None,400,120,120,40,50,70,0,0
54,Obliterations Footfall,8,1092,210,Dragon,120,0,0,High,1,None,None,None,400,110,120,40,50,80,0,0
55,Ruinous Obliteration,12,1508,290,Dragon,180,0,0,High,1,None,None,None,400,80,30,30,110,40,110,0
56,Girros Hammer I,3,624,120,Paralysis,210,0,0,None,None,None,None,None,250,80,50,80,40,0,0,0
57,Girros Hammer II,4,676,130,Paralysis,270,0,0,None,None,None,None,None,250,70,50,80,50,0,0,0
58,Maladys Fist I,5,728,140,Paralysis,330,20,0,None,None,None,None,None,300,60,50,80,110,0,0,0
59,Maladys Fist II,6,780,150,Paralysis,360,20,0,None,None,None,None,None,300,90,50,50,80,30,0,0
60,Maladys Fist III,6,832,160,Paralysis,390,20,0,None,None,None,None,None,350,90,60,60,100,40,0,0
61,Naaga Matraca I,9,1040,200,Paralysis,450,20,0,None,None,None,None,None,350,70,60,60,100,60,0,0
62,Naaga Matraca II,10,1248,240,Paralysis,510,20,0,None,None,None,None,None,350,70,60,60,100,60,0,0
63,Bone Spike I,3,676,130,Sleep,150,0,+15,None,None,None,None,None,250,120,70,30,30,0,0,0
64,Bone Spike II,4,728,140,Sleep,180,0,+15,None,None,None,None,None,250,110,70,30,40,0,0,0
65,Baan Strike I,5,780,150,Sleep,210,0,+20,None,None,None,None,None,300,110,100,40,40,10,0,0
