Name,Rarity,Attack,True Attack,Element,Element Stat,Affinity(%),Defense,Elderseal,Gem Slot 1(Lvl),Gem Slot 2(Lvl),Gem Slot 3(Lvl),Skill,Max Sharpness,Red Sharpness,Orange Sharpness,Yellow Sharpness,Green Sharpness,Blue Sharpness,White Sharpness,Purple Sharpness
Iron Lance I,1,184,80,None,0,0,0,None,None,None,None,None,200,100,50,50,0,0,0,0
Iron Lance II,1,207,90,None,0,0,0,None,None,None,None,None,200,80,70,30,20,0,0,0
Iron Lance III,2,230,100,None,0,0,0,None,None,None,None,None,200,60,70,30,40,0,0,0
Steel Lance I,3,253,110,None,0,0,0,None,None,None,None,None,250,80,50,80,40,0,0,0
Steel Lance II,4,299,130,None,0,0,0,None,None,None,None,None,250,70,50,80,50,0,0,0
Steel Lance III,5,322,140,Hidden Paralysis,210,0,0,None,1,None,None,None,300,90,50,50,80,30,0,0
Chrome Lance I,6,368,160,Hidden Paralysis,240,0,0,None,1,None,None,None,300,70,50,50,80,50,0,0
Chrome Lance II,6,414,180,Hidden Paralysis,270,0,0,None,1,1,None,None,350,60,60,20,150,60,0,0
Chrome Drill I,9,506,220,Hidden Paralysis,300,0,0,None,1,1,None,None,350,90,80,30,30,80,40,0
Chrome Drill II,10,552,240,Hidden Paralysis,330,0,0,None,1,1,None,None,350,80,80,30,30,80,50,0
Chrome Drill III,11,598,260,Hidden Paralysis,360,0,0,None,1,1,None,None,350,120,30,30,60,50,60,0
Bone Lance I,1,207,90,None,0,0,0,None,None,None,None,None,200,100,60,40,0,0,0,0
Bone Lance II,1,230,100,None,0,0,0,None,None,None,None,None,200,90,50,60,0,0,0,0
Bone Lance III,2,253,110,None,0,0,0,None,None,None,None,None,200,80,50,50,20,0,0,0
Hard Bone Lance I,3,322,140,None,0,0,0,None,None,None,None,None,250,120,70,30,30,0,0,0
Hard Bone Lance II,4,345,150,None,0,0,0,None,None,None,None,None,250,110,70,30,40,0,0,0
Hard Bone Lance III,5,368,160,Hidden Poison,180,0,0,None,2,None,None,None,300,140,70,30,60,0,0,0
Heavy Bone Lance I,6,391,170,Hidden Poison,210,0,+10,None,2,None,None,None,300,100,100,40,40,20,0,0
Heavy Bone Lance II,6,437,190,Hidden Poison,240,0,+10,None,3,None,None,None,350,100,120,40,50,40,0,0
Grand Halberd I,9,529,230,Hidden Poison,270,0,+35,None,3,None,None,None,350,100,100,40,50,60,0,0
Grand Halberd II,10,575,250,Hidden Poison,300,0,+35,None,3,None,None,None,350,90,100,40,50,70,0,0
Grand Halberd III,11,644,280,Hidden Poison,330,0,+35,None,3,None,None,None,350,80,100,40,50,80,0,0
Kulu Lance I,2,253,110,None,0,15,0,None,None,None,None,None,200,70,70,30,30,0,0,0
Kulu Lance II,3,276,120,None,0,15,0,None,None,None,None,None,250,80,50,80,40,0,0,0
Kulu Lance III,4,299,130,None,0,15,0,None,None,None,None,None,250,60,50,80,60,0,0,0
Kulu Hasta I,5,345,150,Hidden Sleep,300,25,0,None,None,None,None,None,300,110,50,50,80,10,0,0
Kulu Hasta II,6,368,160,Hidden Sleep,330,25,0,None,None,None,None,None,300,90,50,50,80,30,0,0
Kulu Hasta III,6,391,170,Hidden Sleep,360,25,0,None,None,None,None,None,350,90,60,60,100,40,0,0
Minqar al-Nasr I,9,483,210,Hidden Sleep,390,25,0,None,None,None,None,None,350,110,30,30,110,40,30,0
Minqar al-Nasr II,10,598,260,Hidden Sleep,420,25,0,None,None,None,None,None,350,80,30,30,110,40,60,0
Blooming Lance I,2,230,100,Poison,240,0,0,None,None,None,None,None,200,60,70,30,40,0,0,0
Blooming Lance II,3,253,110,Poison,300,0,0,None,None,None,None,None,250,70,50,80,50,0,0,0
Blooming Lance III,4,299,130,Poison,360,0,0,None,None,None,None,None,250,60,50,80,60,0,0,0
Datura Pike I,5,345,150,Poison,420,0,0,None,1,1,None,None,300,110,50,50,80,10,0,0
Datura Pike II,6,368,160,Poison,480,0,0,None,2,1,None,None,300,100,50,50,80,20,0,0
Datura Pike III,6,391,170,Poison,540,0,0,None,2,1,None,None,350,100,120,40,50,40,0,0
Datura Stalk I,9,460,200,Poison,600,0,0,None,2,1,None,None,350,90,80,30,30,80,40,0
Datura Stalk II,10,552,240,Poison,660,0,0,None,2,1,None,None,350,120,30,30,60,50,60,0
Carapace Lance I,2,253,110,None,0,-20,+10,None,None,None,None,None,200,70,50,50,30,0,0,0
Carapace Lance II,3,276,120,None,0,-20,+10,None,None,None,None,None,250,110,70,30,40,0,0,0
Carapace Lance III,4,345,150,None,0,-20,+10,None,None,None,None,None,250,100,70,30,50,0,0,0
