Order,Name,Rarity,Attack,True Attack,Element,Element Stat,Affinity(%),Defense,Elderseal,Gem Slot 1(Lvl),Gem Slot 2(Lvl),Gem Slot 3(Lvl),Phial Type,Skill,Max Sharpness,Red Sharpness,Orange Sharpness,Yellow Sharpness,Green Sharpness,Blue Sharpness,White Sharpness,Purple Sharpness
1,Proto Iron Axe I,1,2,80,None,0,0,0,None,None,None,None,Power Phial ,None,200,100,50,50,0,0,0,0
2,Proto Iron Axe II,1,315,90,None,0,0,0,None,None,None,None,Power Phial ,None,200,80,70,30,20,0,0,0
3,Proto Iron Axe III,2,350,100,None,0,0,0,None,None,None,None,Power Phial ,None,200,60,70,30,40,0,0,0
4,Improved Steel Axe I,3,385,110,None,0,0,0,None,None,None,None,Poison Phial 30,None,250,70,50,80,50,0,0,0
5,Improved Steel Axe II,4,455,130,None,0,0,0,None,None,None,None,Poison Phial 30,None,250,60,50,80,60,0,0,0
6,Improved Steel Axe III,5,490,140,Hidden Poison,300,0,0,None,1,None,None,Poison Phial 30,None,300,90,50,50,80,30,0,0
7,Perfected Alloy Axe I,6,560,160,Hidden Poison,360,0,0,None,1,None,None,Poison Phial 42,None,300,70,50,50,80,50,0,0
8,Perfected Alloy Axe II,6,630,180,Hidden Poison,420,0,0,None,1,1,None,Poison Phial 42,None,350,60,60,20,150,60,0,0
9,Chrome Machina I,9,770,220,Hidden Poison,450,0,0,None,1,1,None,Poison Phial 48,None,350,90,80,30,30,80,40,0
10,Chrome Machina II,10,840,240,Hidden Poison,480,0,0,None,1,1,None,Poison Phial 48,None,350,80,80,30,30,80,50,0
11,Chrome Machina III,11,945,270,Hidden Poison,510,0,0,None,1,1,None,Poison Phial 54,None,350,120,30,30,60,50,60,0
12,Bone Axe I,1,315,90,None,0,0,0,None,None,None,None,Power Phial ,None,200,100,60,40,0,0,0,0
13,Bone Axe II,1,350,100,None,0,0,0,None,None,None,None,Power Phial ,None,200,90,50,60,0,0,0,0
14,Bone Axe III,2,385,110,None,0,0,0,None,None,None,None,Power Phial ,None,200,80,50,50,20,0,0,0
15,Bone Smasher I,3,490,140,None,0,0,0,None,None,None,None,Power Phial ,None,250,120,70,30,30,0,0,0
16,Bone Smasher II,4,525,150,None,0,0,0,None,None,None,None,Power Phial ,None,250,110,70,30,40,0,0,0
17,Bone Smasher III,5,560,160,None,0,0,0,None,2,None,None,Power Phial ,None,300,140,70,30,60,0,0,0
18,Power Smasher I,6,595,170,None,0,0,+10,Average,2,None,None,Dragon Phial 30,None,300,100,100,40,40,20,0,0
19,Power Smasher II,6,665,190,None,0,10,+10,Average,3,None,None,Dragon Phial 42,None,350,100,120,40,50,40,0,0
20,Mighty Gear I,9,805,230,None,0,10,+35,Average,3,None,None,Dragon Phial 48,None,350,100,100,40,50,60,0,0
21,Mighty Gear II,10,875,250,None,0,10,+35,Average,3,None,None,Dragon Phial 51,None,350,90,100,40,50,70,0,0
22,Mighty Gear III,11,945,270,None,0,10,+35,Average,3,None,None,Dragon Phial 51,None,350,80,100,40,50,80,0,0
23,Jagras Axe I,2,385,110,None,0,0,0,None,None,None,None,Exhaust Phial 12,None,200,60,70,30,40,0,0,0
24,Jagras Axe II,3,420,120,None,0,0,0,None,None,None,None,Exhaust Phial 12,None,250,70,50,80,50,0,0,0
25,Jagras Axe III,4,490,140,None,0,0,0,None,None,None,None,Exhaust Phial 15,None,250,50,50,80,70,0,0,0
26,Jagras Raider I,5,560,160,Hidden Sleep,180,0,0,None,1,None,None,Exhaust Phial 18,None,300,110,50,50,80,10,0,0
27,Jagras Raider II,6,630,180,Hidden Sleep,210,0,0,None,2,2,None,Exhaust Phial 18,None,300,100,50,50,80,20,0,0
28,Jagras Raider III,6,665,190,Hidden Sleep,240,0,0,None,3,2,None,Exhaust Phial 21,None,350,110,120,40,50,30,0,0
29,Sabers Bite I,9,805,230,Hidden Sleep,390,0,0,None,3,3,None,Exhaust Phial 24,None,350,100,50,50,80,70,0,0
30,Sabers Bite II,10,910,260,Hidden Sleep,420,0,0,None,3,3,None,Exhaust Phial 27,None,350,110,80,30,30,80,20,0
