<<<<<<< HEAD
Name,Rarity,Attack,True Attack,Element,Element Stat,Affinity(%),Defense,Elderseal,Gem Slot 1(Lvl),Gem Slot 2(Lvl),Gem Slot 3(Lvl),Skill,Max Sharpness,Red Sharpness,Orange Sharpness,Yellow Sharpness,Green Sharpness,Blue Sharpness,White Sharpness,Purple Sharpness
Hunter's Knife I,1,112,80,None,0,0,0,None,None,None,None,None,200,90,50,60,0,0,0,0
Hunter's Knife II,1,126,90,None,0,0,0,None,None,None,None,None,200,70,70,30,30,0,0,0
Hunter's Knife III,2,140,100,None,0,0,0,None,None,None,None,None,200,50,70,30,50,0,0,0
Steel Knife I,3,168,120,None,0,0,0,None,None,None,None,None,250,70,50,80,50,0,0,0
Steel Knife II,4,182,130,None,0,0,0,None,None,None,None,None,250,50,50,80,70,0,0,0
Steel Knife III,5,196,140,Hidden Sleep,120,0,0,None,1,None,None,None,300,100,50,50,80,20,0,0
Chrome Slicer I,6,224,160,Hidden Sleep,150,0,0,None,1,None,None,None,300,80,50,50,80,40,0,0
Chrome Slicer II,6,252,180,Hidden Sleep,240,0,0,None,1,1,None,None,350,50,60,20,150,70,0,0
Chrome Knight Sword I,9,308,220,Hidden Sleep,270,0,0,None,1,1,None,None,350,80,80,30,30,80,50,0
Chrome Knight Sword II,10,336,240,Hidden Sleep,300,0,0,None,1,1,None,None,350,70,80,30,30,80,60,0
Chrome Knight Sword III,11,364,260,Hidden Sleep,330,0,0,None,1,1,None,None,350,110,30,30,60,50,70,0
Bone Kukri I,1,140,100,None,0,0,0,None,None,None,None,None,200,90,60,50,0,0,0,0
Bone Kukri II,1,154,110,None,0,0,0,None,None,None,None,None,200,80,50,70,0,0,0,0
Bone Kukri III,2,168,120,None,0,0,0,None,None,None,None,None,200,80,50,50,20,0,0,0
Chief Kukri I,3,196,140,None,0,0,0,None,None,None,None,None,250,110,70,30,40,0,0,0
Chief Kukri II,4,210,150,None,0,0,0,None,None,None,None,None,250,100,70,30,50,0,0,0
Chief Kukri III,5,224,160,Hidden Paralysis,180,0,0,None,2,None,None,None,300,130,70,30,70,0,0,0
Grand Barong I,6,238,170,Hidden Paralysis,240,0,+10,None,2,None,None,None,300,100,100,40,40,20,0,0
Grand Barong II,6,266,190,Hidden Paralysis,300,0,+10,None,3,None,None,None,350,90,120,40,50,50,0,0
Radobaan Os I,9,322,230,Hidden Paralysis,330,0,+35,None,3,None,None,None,350,90,100,40,50,70,0,0
Radobaan Os II,10,350,250,Hidden Paralysis,330,0,+35,None,3,None,None,None,350,80,100,40,50,80,0,0
